Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_autonoma
Land rover,range rover evoque,11990,217000,2013,Diésel,150.0,MADRID,Manual,28970,Madrid
Audi,a7,35390,154316,2019,Diésel,286.0,MADRID,Automático,28021,Madrid
Mg,hs,18180,10145,2024,Gasolina,162.0,MADRID,Automático,28914,Madrid
Mercedes-benz,unknown,4800,346000,2004,Diésel,170.0,ALBACETE,Automático,02001,Andalucía
Volkswagen,beetle,16900,79000,2014,Gasolina,211.0,RIELLS,Automático,08415,Cataluña
Peugeot,2008,15750,46989,2023,Eléctrico,136.0,CAMARGO,Automático,39600,Cantabria
Volkswagen,passat,15990,137000,2021,Diésel,120.0,utrera,Automático,41710,Andalucía
Mercedes-benz,s 500,44000,143221,2016,Gasolina,455.0,MADRID,Automático,28043,Madrid
Nissan,pixo,3000,60367,2009,Gasolina,68.0,MALAGA,Manual,29004,Andalucía
Cupra,formentor,22550,24901,2024,Gasolina,150.0,MADRID,Manual,28042,Madrid
Audi,q3,24490,115851,2019,Gasolina,190.0,Madrid,Automático,28031,Madrid
Mercedes-benz,unknown,23900,105000,2021,Diésel,160.0,MAR,Automático,04740,Andalucía
Citroen,c4 cactus,7990,100000,2018,Gasolina,110.0,HENARES,Manual,28805,Madrid
Mercedes-benz,a 200,25900,62070,2020,Gasolina,163.0,BARCELONA,Automático,08017,Cataluña
Dacia,duster,11900,33469,2019,Gasolina,114.0,IURRETA,Manual,48215,País Vasco
Volkswagen,t-roc,17290,126207,2021,Gasolina,150.0,MADRID,Automático,28021,Madrid
Seat,leon,14990,90259,2021,Diésel,116.0,POBLET,Manual,46930,Comunidad Valenciana
Citroen,berlingo,9917,99237,2019,Diésel,103.0,POBLET,Automático,46930,Comunidad Valenciana
Bmw,218,29490,9850,2024,Gasolina,136.0,DALT,Automático,08339,Cataluña
Bmw,x3,8995,163000,2009,Diésel,177.0,FUENLABRADA,Automático,28940,Madrid
Seat,leon,14990,90259,2021,Diésel,116.0,POBLET,Manual,46930,Comunidad Valenciana
Citroen,berlingo,9917,99237,2019,Diésel,103.0,POBLET,Automático,46930,Comunidad Valenciana
Bmw,218,29490,9850,2024,Gasolina,136.0,DALT,Automático,08339,Cataluña
Bmw,x3,8995,163000,2009,Diésel,177.0,FUENLABRADA,Automático,28940,Madrid
Nissan,qashqai,12499,211000,2018,Diésel,131.0,ARDOZ,Manual,28850,Madrid
Peugeot,308,7490,164542,2019,Diésel,99.0,MOSTOLES,Manual,28938,Madrid
Mercedes-benz,gle 350,48990,101195,2021,Electro/Diésel,320.0,Málaga,Automático,29004,Andalucía
Mg,ehs,19791,23255,2023,Electro/Gasolina,162.0,Segarra,Automático,08281,Cataluña
Renault,clio,3800,148446,2006,Gasolina,98.0,Rioja,Manual,26006,La Rioja
Volkswagen,t-roc,13000,182600,2019,Diésel,150.0,CADIZ,Manual,11011,Andalucía
Peugeot,2008,17690,39101,2024,Gasolina,131.0,MADRID,Automático,28021,Madrid
Renault,clio,5490,185000,2014,Diésel,75.0,Madrid,Manual,28045,Madrid
Volkswagen,tiguan,22990,69000,2020,Gasolina,150.0,LLOBREGAT,Manual,08820,Cataluña
Audi,rs4,59999,60000,2019,Gasolina,450.0,PLASENCIA,Manual,10600,Extremadura
Citroen,c4 cactus,7999,106000,2016,Gasolina,82.0,Rey,Manual,28500,Madrid
Volkswagen,tiguan,10890,139689,2011,Diésel,140.0,Burlada,Manual,31600,Navarra
Peugeot,208,13047,15977,2023,Gasolina,102.0,ALICANTE,Automático,03016,Comunidad Valenciana
Renault,grand scenic,3500,290000,2009,Diésel,131.0,Brujas,Manual,30161,Región de Murcia
Alfa romeo,stelvio,18800,63101,2017,Diésel,150.0,Rioja,Automático,26006,La Rioja
Maserati,levante,44800,145158,2019,Gasolina,430.0,MADRID,Automático,28015,Madrid
Audi,rs4,59999,60000,2019,Gasolina,450.0,PLASENCIA,Manual,10600,Extremadura
Citroen,c4 cactus,7999,106000,2016,Gasolina,82.0,Rey,Manual,28500,Madrid
Volkswagen,tiguan,10890,139689,2011,Diésel,140.0,Burlada,Manual,31600,Navarra
Peugeot,208,13047,15977,2023,Gasolina,102.0,ALICANTE,Automático,03016,Comunidad Valenciana
Renault,grand scenic,3500,290000,2009,Diésel,131.0,Brujas,Manual,30161,Región de Murcia
Alfa romeo,stelvio,18800,63101,2017,Diésel,150.0,Rioja,Automático,26006,La Rioja
Maserati,levante,44800,145158,2019,Gasolina,430.0,MADRID,Automático,28015,Madrid
Ds automobiles,ds 7 crossback,15490,147000,2018,Gasolina,181.0,Campo,Automático,28840,Madrid
Bmw,m4,72990,19800,2018,Gasolina,460.0,Reyes,Automático,28703,Madrid
Toyota,yaris,10800,54322,2019,Gasolina,69.0,Barcelona,Manual,08020,Cataluña
Volkswagen,passat,18390,117244,2020,Diésel,150.0,BURGOS,Automático,09001,Castilla y León
Cupra,leon,25364,16223,2023,Gasolina,190.0,BARCELONA,Automático,08030,Cataluña
Peugeot,3008,15500,97000,2022,Gasolina,131.0,PLANA,Automático,12006,Comunidad Valenciana
Volvo,xc40,28900,13440,2024,Gasolina,129.0,HENARES,Automático,28805,Madrid
Cupra,leon,26390,6100,2025,Electro/Gasolina,150.0,VALLES,Automático,08150,Cataluña
Peugeot,2008,8450,191000,2018,Diésel,99.0,TORREVIEJA,Manual,03181,Comunidad Valenciana
Hyundai,genesis,19990,148000,2014,Gasolina,315.0,LLOBREGAT,Automático,08820,Cataluña
Volkswagen,tiguan,23790,47638,2021,Diésel,150.0,LAGUNA,Automático,38108,Canarias
Renault,megane,8995,149000,2017,Diésel,90.0,CANARIA,Manual,35018,Canarias
Mercedes-benz,unknown,18490,116800,2019,Diésel,160.0,Campo,Manual,28840,Madrid
Mercedes-benz,cla 200,36890,5427,2024,Gasolina,163.0,BARCELONA,Automático,08017,Cataluña
Renault,captur,21990,13476,2024,Gasolina,140.0,SANTANDER,Automático,39011,Cantabria
Toyota,rav 4,11583,197678,2011,Diésel,150.0,ROZAS,Manual,28232,Madrid
Hyundai,i20,7299,63119,2013,Gasolina,84.0,BESÒS,Manual,08903,Cataluña
Jeep,avenger,16390,36162,2024,Gasolina,101.0,MADRID,Automático,28021,Madrid
Ford,kuga,14990,94162,2018,Gasolina,182.0,REY,Automático,45280,Castilla-La Mancha
Mini,cooper cabrio,29485,17350,2024,Gasolina,136.0,MAJADAHONDA,Automático,28220,Madrid
Jaecoo,j7,35990,11,2025,Eléctrico,347.0,Humilladero,Automático,29006,Andalucía
Mercedes-benz,a 200,16850,188000,2018,Diésel,136.0,MADRID,Automático,28007,Madrid
Skoda,karoq,16989,33851,2021,Gasolina,116.0,ALBACETE,Automático,02006,Andalucía
Audi,a6,35990,64000,2019,Electro/Diésel,286.0,GALDAKAO,Automático,48960,País Vasco
Mercedes-benz,v,29900,178000,2016,Diésel,163.0,MADRID,Automático,28015,Madrid
Volkswagen,tiguan,22490,125000,2018,Diésel,140.0,Sestao,Manual,48910,País Vasco
Chevrolet,camaro,54000,6000,2023,Gasolina,461.0,ZARAGOZA,Automático,50197,Aragón
Hyundai,i20,4950,100000,2010,Gasolina,77.0,TORRENT,Manual,46900,Comunidad Valenciana
Alfa romeo,spider,7990,117000,2004,Gasolina,165.0,CALATRAVA,Manual,13440,Castilla-La Mancha
Bmw,535,17000,140185,2006,Diésel,272.0,JAVIER,Automático,30730,Región de Murcia
Seat,ateca,16990,39564,2021,Gasolina,116.0,HARO,Manual,26200,La Rioja
Audi,a4,9790,218000,2010,Diésel,143.0,ORDES,Automático,15680,Galicia
Porsche,cayman,42900,118000,2006,Gasolina,295.0,ALMENAR,Automático,25126,Cataluña
Seat,ibiza,13332,17206,2021,Gasolina,110.0,BESÒS,Manual,08903,Cataluña
Skoda,octavia,12900,151000,2020,Diésel,150.0,BADAJOZ,Automático,06011,Extremadura
Fiat,500l,8990,89836,2018,Gasolina,120.0,HENARES,Manual,28805,Madrid
Bmw,318,35900,9700,2023,Diésel,150.0,ARROYOMOLINOS,Automático,28939,Madrid
Bmw,318,37900,15700,2024,Diésel,150.0,MARTOS,Automático,23600,Andalucía
Renault,scenic,5500,130000,2010,Diésel,106.0,MADRID,Manual,28038,Madrid
Hyundai,i20,7299,63119,2013,Gasolina,84.0,BESÒS,Manual,08903,Cataluña
Dacia,sandero,9990,45240,2020,Diésel,95.0,LUGO,Manual,27003,Galicia
Fiat,tipo,14900,39660,2022,Diésel,131.0,TERRASSA,Manual,08226,Cataluña
