Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,07/04/2024,0.0,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,07/04/2024,7.3344,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,07/04/2024,88.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,07/04/2024,34.0,1
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,07/04/2024,61.0,1
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,07/04/2024,6.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,07/04/2024,57.2,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,07/04/2024,1984.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,07/04/2024,1008.94,1
CIS Ferrol,Presión reducida,hPa,PRED_AVG_1.5m,07/04/2024,1013.48,1
CIS Ferrol,Refacho máximo a 10m,km/h,VV_MAX_10m,07/04/2024,49.1,1
CIS Ferrol,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,07/04/2024,7.18,1
CIS Ferrol,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,07/04/2024,19.25,1
CIS Ferrol,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,07/04/2024,15.36,1
CIS Ferrol,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,07/04/2024,15.18,1
CIS Ferrol,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,07/04/2024,11.92,1
CIS Ferrol,Velocidade do vento a 10m,km/h,VV_AVG_10m,07/04/2024,12.5,1
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,08/04/2024,15.4,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,08/04/2024,18.3,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,08/04/2024,168.0,1
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,08/04/2024,270.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,08/04/2024,2.93,1
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,08/04/2024,0.0,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,08/04/2024,4.4833,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,08/04/2024,92.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,08/04/2024,56.0,1
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,08/04/2024,73.0,1
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,08/04/2024,4.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,08/04/2024,34.8,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,08/04/2024,1345.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,08/04/2024,1009.97,1
CIS Ferrol,Presión reducida,hPa,PRED_AVG_1.5m,08/04/2024,1014.57,1
CIS Ferrol,Refacho máximo a 10m,km/h,VV_MAX_10m,08/04/2024,56.2,1
CIS Ferrol,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,08/04/2024,7.22,1
CIS Ferrol,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,08/04/2024,14.51,1
CIS Ferrol,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,08/04/2024,11.84,1
CIS Ferrol,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,08/04/2024,11.99,1
CIS Ferrol,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,08/04/2024,9.47,1
CIS Ferrol,Velocidade do vento a 10m,km/h,VV_AVG_10m,08/04/2024,15.3,1
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,09/04/2024,-3.3,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,09/04/2024,0.0,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,09/04/2024,244.0,1
