Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,07/04/2023,228.0,1
Marco da Curra,Dirección do vento predominante a 10m,º,DVP_MODA_10m,07/04/2023,135.0,1
Marco da Curra,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,07/04/2023,5.33,1
Marco da Curra,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,07/04/2023,4.33,1
Marco da Curra,Horas de sol,h,HSOL_SUM_1.5m,07/04/2023,11.3022,1
Marco da Curra,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,07/04/2023,88.0,1
Marco da Curra,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,07/04/2023,21.0,1
Marco da Curra,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,07/04/2023,54.0,1
Marco da Curra,Insolación,%,INS_RATIO_1.5m,07/04/2023,88.1,1
Marco da Curra,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,07/04/2023,2388.0,1
Marco da Curra,Presión,hPa,PR_AVG_1.5m,07/04/2023,940.22,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,07/04/2023,1015.39,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,07/04/2023,47.2,1
Marco da Curra,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,07/04/2023,3.36,1
Marco da Curra,Temperatura do solo a -0.1m,ºC,TS_AVG_-0.1m,07/04/2023,9.6,1
Marco da Curra,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,07/04/2023,21.52,1
Marco da Curra,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,07/04/2023,12.95,1
Marco da Curra,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,07/04/2023,13.5,1
Marco da Curra,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,07/04/2023,5.49,1
Marco da Curra,Velocidade do vento a 10m,km/h,VV_AVG_10m,07/04/2023,20.6,1
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,08/04/2023,-6.2,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,08/04/2023,0.0,1
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,08/04/2023,248.0,1
Marco da Curra,Dirección do vento predominante a 10m,º,DVP_MODA_10m,08/04/2023,180.0,1
Marco da Curra,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,08/04/2023,6.2,1
Marco da Curra,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,08/04/2023,0.0,1
Marco da Curra,Horas de sol,h,HSOL_SUM_1.5m,08/04/2023,11.2689,1
Marco da Curra,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,08/04/2023,60.0,1
Marco da Curra,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,08/04/2023,27.0,1
Marco da Curra,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,08/04/2023,41.0,1
Marco da Curra,Insolación,%,INS_RATIO_1.5m,08/04/2023,87.5,1
Marco da Curra,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,08/04/2023,2424.0,1
Marco da Curra,Presión,hPa,PR_AVG_1.5m,08/04/2023,941.78,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,08/04/2023,1016.28,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,08/04/2023,28.8,1
Marco da Curra,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,08/04/2023,3.02,1
Marco da Curra,Temperatura do solo a -0.1m,ºC,TS_AVG_-0.1m,08/04/2023,10.64,1
Marco da Curra,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,08/04/2023,22.44,1
Marco da Curra,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,08/04/2023,16.19,1
Marco da Curra,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,08/04/2023,16.42,1
Marco da Curra,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,08/04/2023,12.07,1
Marco da Curra,Velocidade do vento a 10m,km/h,VV_AVG_10m,08/04/2023,13.6,1
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,09/04/2023,-4.3,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,09/04/2023,0.0,1
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,09/04/2023,293.0,1
Marco da Curra,Dirección do vento predominante a 10m,º,DVP_MODA_10m,09/04/2023,225.0,1
Marco da Curra,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,09/04/2023,4.34,1
Marco da Curra,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,09/04/2023,0.0,1
Marco da Curra,Horas de sol,h,HSOL_SUM_1.5m,09/04/2023,9.7019,1
Marco da Curra,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,09/04/2023,100.0,1
Marco da Curra,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,09/04/2023,35.0,1
Marco da Curra,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,09/04/2023,66.0,1
Marco da Curra,Insolación,%,INS_RATIO_1.5m,09/04/2023,75.1,1
Marco da Curra,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,09/04/2023,2022.0,1
Marco da Curra,Presión,hPa,PR_AVG_1.5m,09/04/2023,945.51,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,09/04/2023,1021.16,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,09/04/2023,30.5,1
Marco da Curra,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,09/04/2023,5.87,1
Marco da Curra,Temperatura do solo a -0.1m,ºC,TS_AVG_-0.1m,09/04/2023,11.04,1
Marco da Curra,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,09/04/2023,18.6,1
Marco da Curra,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,09/04/2023,13.48,1
Marco da Curra,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,09/04/2023,13.01,1
Marco da Curra,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,09/04/2023,8.33,1
Marco da Curra,Velocidade do vento a 10m,km/h,VV_AVG_10m,09/04/2023,11.2,1
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,10/04/2023,1.0,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,10/04/2023,2.6,1
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,10/04/2023,237.0,1
Marco da Curra,Dirección do vento predominante a 10m,º,DVP_MODA_10m,10/04/2023,270.0,1
Marco da Curra,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,10/04/2023,1.56,1
Marco da Curra,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,10/04/2023,0.0,1
Marco da Curra,Horas de sol,h,HSOL_SUM_1.5m,10/04/2023,2.6169,1
Marco da Curra,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,10/04/2023,100.0,1
Marco da Curra,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,10/04/2023,70.0,1
Marco da Curra,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,10/04/2023,94.0,1
Marco da Curra,Insolación,%,INS_RATIO_1.5m,10/04/2023,20.2,1
Marco da Curra,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,10/04/2023,997.0,1
Marco da Curra,Presión,hPa,PR_AVG_1.5m,10/04/2023,949.28,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,10/04/2023,1025.76,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,10/04/2023,38.4,1
Marco da Curra,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,10/04/2023,9.73,1
Marco da Curra,Temperatura do solo a -0.1m,ºC,TS_AVG_-0.1m,10/04/2023,11.06,1
Marco da Curra,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,10/04/2023,14.45,1
Marco da Curra,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,10/04/2023,11.61,1
Marco da Curra,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,10/04/2023,10.81,1
Marco da Curra,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,10/04/2023,8.25,1
Marco da Curra,Velocidade do vento a 10m,km/h,VV_AVG_10m,10/04/2023,17.5,1
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,11/04/2023,-2.7,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,11/04/2023,0.0,1
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,11/04/2023,236.0,1
Marco da Curra,Dirección do vento predominante a 10m,º,DVP_MODA_10m,11/04/2023,225.0,1
Marco da Curra,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,11/04/2023,2.74,1
Marco da Curra,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,11/04/2023,3.33,1
Marco da Curra,Horas de sol,h,HSOL_SUM_1.5m,11/04/2023,8.3675,1
Marco da Curra,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,11/04/2023,100.0,1
Marco da Curra,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,11/04/2023,68.0,1
Marco da Curra,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,11/04/2023,87.0,1
Marco da Curra,Insolación,%,INS_RATIO_1.5m,11/04/2023,64.3,1
Marco da Curra,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,11/04/2023,2009.0,1
Marco da Curra,Presión,hPa,PR_AVG_1.5m,11/04/2023,945.75,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,11/04/2023,1022.37,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,11/04/2023,63.1,1
Marco da Curra,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,11/04/2023,7.25,1
