AYUNTAMIENTO,PROVINCIA,CCAA,RÉGIMEN DEDICACIÓN,TOTAL PERCIBIDO
Fernán Caballero,Ciudad Real,Castilla-La Mancha,Sin dedicación,"0,00"
Fontanarejo,Ciudad Real,Castilla-La Mancha,Parcial,"11.880,00"
Fuencaliente,Ciudad Real,Castilla-La Mancha,Exclusiva,"18.640,06"
Fuenllana,Ciudad Real,Castilla-La Mancha,Sin dedicación,"0,00"
Fuente el Fresno,Ciudad Real,Castilla-La Mancha,Exclusiva,"34.357,68"
Granátula de Calatrava,Ciudad Real,Castilla-La Mancha,Parcial,"9.840,00"
Guadalmez,Ciudad Real,Castilla-La Mancha,Parcial,"17.203,20"
Herencia,Ciudad Real,Castilla-La Mancha,Exclusiva,"32.070,60"
Hinojosas de Calatrava,Ciudad Real,Castilla-La Mancha,Sin dedicación,"0,00"
Horcajo de los Montes,Ciudad Real,Castilla-La Mancha,Sin dedicación,"0,00"
"Labores, Las",Ciudad Real,Castilla-La Mancha,Sin dedicación,"280,00"
Llanos del Caudillo,Ciudad Real,Castilla-La Mancha,Sin dedicación,"1.380,00"
Luciana,Ciudad Real,Castilla-La Mancha,Sin dedicación,"1.740,00"
Malagón,Ciudad Real,Castilla-La Mancha,Sin dedicación,"9.600,00"
MANZANARES,Ciudad Real,Castilla-La Mancha,Sin dedicación,"22.280,00"
Membrilla,Ciudad Real,Castilla-La Mancha,Parcial,"34.404,32"
Mestanza,Ciudad Real,Castilla-La Mancha,Sin dedicación,"1.050,00"
Miguelturra,Ciudad Real,Castilla-La Mancha,Exclusiva,"41.508,00"
Montiel,Ciudad Real,Castilla-La Mancha,Sin dedicación,"3.880,00"
Moral de Calatrava,Ciudad Real,Castilla-La Mancha,Exclusiva,"29.767,86"
Navalpino,Ciudad Real,Castilla-La Mancha,Sin dedicación,"0,00"
Navas de Estena,Ciudad Real,Castilla-La Mancha,Sin dedicación,"0,00"
Pedro Muñoz,Ciudad Real,Castilla-La Mancha,Exclusiva,"42.828,23"
PICÓN,Ciudad Real,Castilla-La Mancha,Parcial,"10.950,52"
Piedrabuena,Ciudad Real,Castilla-La Mancha,Sin dedicación,"7.865,28"
Poblete,Ciudad Real,Castilla-La Mancha,Exclusiva,"39.200,00"
Pozuelo de Calatrava,Ciudad Real,Castilla-La Mancha,Exclusiva,"39.453,96"
"Pozuelos de Calatrava, Los",Ciudad Real,Castilla-La Mancha,Parcial,"7.307,44"
Puebla de Don Rodrigo,Ciudad Real,Castilla-La Mancha,Parcial,"18.000,00"
Puebla del Príncipe,Ciudad Real,Castilla-La Mancha,Parcial,"21.189,00"
Puerto Lápice,Ciudad Real,Castilla-La Mancha,Sin dedicación,"900,00"
Puertollano,Ciudad Real,Castilla-La Mancha,Exclusiva,"56.895,00"
Retuerta del Bullaque,Ciudad Real,Castilla-La Mancha,Exclusiva,"20.583,50"
"Robledo, El",Ciudad Real,Castilla-La Mancha,Parcial,"14.610,68"
Ruidera,Ciudad Real,Castilla-La Mancha,Sin dedicación,"2.400,00"
Saceruela,Ciudad Real,Castilla-La Mancha,Sin dedicación,"450,00"
San Carlos del Valle,Ciudad Real,Castilla-La Mancha,Parcial,"9.560,76"
San Lorenzo de Calatrava,Ciudad Real,Castilla-La Mancha,Parcial,"7.920,00"
Santa Cruz de los Cáñamos,Ciudad Real,Castilla-La Mancha,Sin dedicación,"6.664,00"
Santa Cruz de Mudela,Ciudad Real,Castilla-La Mancha,Exclusiva,"27.930,00"
Socuéllamos,Ciudad Real,Castilla-La Mancha,Exclusiva,"46.586,10"
Solana del Pino,Ciudad Real,Castilla-La Mancha,Sin dedicación,"240,00"
"Solana, La",Ciudad Real,Castilla-La Mancha,Exclusiva,"18.160,30"
Terrinches,Ciudad Real,Castilla-La Mancha,Parcial,"26.839,40"
Tomelloso,Ciudad Real,Castilla-La Mancha,Exclusiva,"51.000,04"
TORRALBA DE CALATRAVA,Ciudad Real,Castilla-La Mancha,Exclusiva,"29.422,00"
Torre de Juan Abad,Ciudad Real,Castilla-La Mancha,Parcial,"16.800,00"
Torrenueva,Ciudad Real,Castilla-La Mancha,Exclusiva,"40.000,00"
Valdemanco del Esteras,Ciudad Real,Castilla-La Mancha,Sin dedicación,"210,00"
Valdepeñas,Ciudad Real,Castilla-La Mancha,Sin dedicación,"10.400,00"
Valenzuela de Calatrava,Ciudad Real,Castilla-La Mancha,Sin dedicación,"3.625,00"
Villahermosa,Ciudad Real,Castilla-La Mancha,Exclusiva,"30.882,46"
Villamanrique,Ciudad Real,Castilla-La Mancha,Sin dedicación,"960,00"
Villamayor de Calatrava,Ciudad Real,Castilla-La Mancha,Sin dedicación,"0,00"
Villanueva de la Fuente,Ciudad Real,Castilla-La Mancha,Parcial,"12.203,52"
Villanueva de los Infantes,Ciudad Real,Castilla-La Mancha,Parcial,"10.404,00"
Villanueva de San Carlos,Ciudad Real,Castilla-La Mancha,Sin dedicación,"411,60"
Villar del Pozo,Ciudad Real,Castilla-La Mancha,Sin dedicación,"0,00"
VILLARRUBIA DE LOS OJOS,Ciudad Real,Castilla-La Mancha,Exclusiva,"36.195,01"
Villarta de San Juan,Ciudad Real,Castilla-La Mancha,Exclusiva,"36.745,96"
Viso del Marqués,Ciudad Real,Castilla-La Mancha,Parcial,"19.600,00"
Adamuz,Córdoba,Andalucía,Exclusiva,"32.775,00"
Aguilar de la Frontera,Córdoba,Andalucía,Sin dedicación,"5.850,00"
Alcaracejos,Córdoba,Andalucía,Exclusiva,"36.573,46"
Almedinilla,Córdoba,Andalucía,Exclusiva,"30.287,88"
Almodóvar del Río,Córdoba,Andalucía,Sin dedicación,"0,00"
Añora,Córdoba,Andalucía,Exclusiva,"39.946,58"
Baena,Córdoba,Andalucía,Exclusiva,"36.000,00"
Belalcázar,Córdoba,Andalucía,Exclusiva,"36.020,88"
Belmez,Córdoba,Andalucía,Sin dedicación,"1.770,00"
Benamejí,Córdoba,Andalucía,Exclusiva,"36.445,08"
"Blázquez, Los",Córdoba,Andalucía,Sin dedicación,"0,00"
Bujalance,Córdoba,Andalucía,Exclusiva,"44.124,76"
Carcabuey,Córdoba,Andalucía,Exclusiva,"35.411,04"
Cardeña,Córdoba,Andalucía,Exclusiva,"26.627,46"
"Carlota, La",Córdoba,Andalucía,Exclusiva,"41.750,28"
Castro del Río,Córdoba,Andalucía,Exclusiva,"32.806,65"
Córdoba,Córdoba,Andalucía,Exclusiva,"60.172,01"
Dos Torres,Córdoba,Andalucía,Exclusiva,"38.999,96"
Espejo,Córdoba,Andalucía,Exclusiva,"35.240,38"
Espiel,Córdoba,Andalucía,Exclusiva,"43.086,89"
Fernán-Núñez,Córdoba,Andalucía,Exclusiva,"35.231,14"
Fuente Carreteros,Córdoba,Andalucía,Exclusiva,"24.394,30"
Fuente la Lancha,Córdoba,Andalucía,Parcial,"26.805,54"
Fuente Obejuna,Córdoba,Andalucía,Exclusiva,"23.884,80"
Fuente Palmera,Córdoba,Andalucía,Exclusiva,"35.050,26"
"Granjuela, La",Córdoba,Andalucía,Sin dedicación,"2.440,00"
Guadalcázar,Córdoba,Andalucía,Exclusiva,"34.155,38"
"Guijarrosa, La",Córdoba,Andalucía,Exclusiva,"28.763,28"
"Guijo, El",Córdoba,Andalucía,Parcial,"21.000,00"
Hinojosa del Duque,Córdoba,Andalucía,Sin dedicación,"11.000,00"
Hornachuelos,Córdoba,Andalucía,Sin dedicación,"420,00"
Iznájar,Córdoba,Andalucía,Parcial,"31.275,02"
Lucena,Córdoba,Andalucía,Exclusiva,"53.517,80"
Luque,Córdoba,Andalucía,Sin dedicación,"2.700,00"
Montalbán de Córdoba,Córdoba,Andalucía,Sin dedicación,"0,00"
Montemayor,Córdoba,Andalucía,Exclusiva,"33.427,80"
Montilla,Córdoba,Andalucía,Exclusiva,"48.986,42"
Montoro,Córdoba,Andalucía,Exclusiva,"36.615,93"
Monturque,Córdoba,Andalucía,Exclusiva,"26.733,21"
Moriles,Córdoba,Andalucía,Exclusiva,"35.785,14"
Obejo,Córdoba,Andalucía,Exclusiva,"32.995,48"
Palenciana,Córdoba,Andalucía,Exclusiva,"19.451,40"
Palma del Río,Córdoba,Andalucía,Exclusiva,"40.453,00"
Pedro Abad,Córdoba,Andalucía,Exclusiva,"25.669,60"
Pedroche,Córdoba,Andalucía,Exclusiva,"33.752,46"
Peñarroya-Pueblonuevo,Córdoba,Andalucía,Exclusiva,"39.998,98"
Posadas,Córdoba,Andalucía,Exclusiva,"36.143,98"
Pozoblanco,Córdoba,Andalucía,Exclusiva,"46.423,30"
Priego de Córdoba,Córdoba,Andalucía,Sin dedicación,"0,00"
Puente Genil,Córdoba,Andalucía,Sin dedicación,"7.590,00"
"Rambla, La",Córdoba,Andalucía,Exclusiva,"37.675,26"
Rute,Córdoba,Andalucía,Sin dedicación,"5.830,00"
San Sebastián de los Ballesteros,Córdoba,Andalucía,Parcial,"28.000,00"
Santa Eufemia,Córdoba,Andalucía,Parcial,"30.312,12"
Santaella,Córdoba,Andalucía,Exclusiva,"33.724,04"
Torrecampo,Córdoba,Andalucía,Exclusiva,"34.410,00"
Valenzuela,Córdoba,Andalucía,Exclusiva,"23.897,72"
Valsequillo,Córdoba,Andalucía,Sin dedicación,"1.122,00"
"Victoria, La",Córdoba,Andalucía,Parcial,"18.060,02"
Villa del Río,Córdoba,Andalucía,Exclusiva,"36.337,84"
Villafranca de Córdoba,Córdoba,Andalucía,Sin dedicación,"1.202,00"
Villaharta,Córdoba,Andalucía,Exclusiva,"32.015,78"
Villanueva del Rey,Córdoba,Andalucía,Exclusiva,"19.055,96"
Villaviciosa de Córdoba,Córdoba,Andalucía,Exclusiva,"34.689,76"
"Viso, El",Córdoba,Andalucía,Sin dedicación,"950,00"
Zuheros,Córdoba,Andalucía,Parcial,"24.246,10"
ABEGONDO,"Coruña, A",Galicia,Exclusiva,"48.500,00"
AMES,"Coruña, A",Galicia,Sin dedicación,"6.250,00"
ARANGA,"Coruña, A",Galicia,Exclusiva,"36.100,18"
Ares,"Coruña, A",Galicia,Sin dedicación,"27.076,95"
ARTEIXO,"Coruña, A",Galicia,Exclusiva,"56.604,90"
ARZÚA,"Coruña, A",Galicia,Exclusiva,"43.542,52"
"BAÑA, A","Coruña, A",Galicia,Exclusiva,"30.000,00"
Bergondo,"Coruña, A",Galicia,Exclusiva,"39.951,45"
BETANZOS,"Coruña, A",Galicia,Exclusiva,"50.823,08"
BOIMORTO,"Coruña, A",Galicia,Exclusiva,"39.200,00"
BOIRO,"Coruña, A",Galicia,Exclusiva,"44.158,24"
Boqueixón,"Coruña, A",Galicia,Exclusiva,"35.000,00"
BRIÓN,"Coruña, A",Galicia,Exclusiva,"45.000,00"
CABANA DE BERGANTIÑOS,"Coruña, A",Galicia,Exclusiva,"43.797,74"
CABANAS,"Coruña, A",Galicia,Exclusiva,"28.000,00"
Camariñas,"Coruña, A",Galicia,Exclusiva,"33.984,44"
CAMBRE,"Coruña, A",Galicia,Parcial,"33.656,16"
"CAPELA, A","Coruña, A",Galicia,Sin dedicación,"0,00"
Carballo,"Coruña, A",Galicia,Exclusiva,"45.405,61"
CARIÑO,"Coruña, A",Galicia,Exclusiva,"41.218,52"
CARNOTA,"Coruña, A",Galicia,Exclusiva,"36.021,30"
Carral,"Coruña, A",Galicia,Exclusiva,"42.817,74"
Cedeira,"Coruña, A",Galicia,Exclusiva,"43.400,00"
Cee,"Coruña, A",Galicia,Parcial,"35.909,02"
CERCEDA,"Coruña, A",Galicia,Exclusiva,"45.000,06"
Cerdido,"Coruña, A",Galicia,Exclusiva,"37.555,84"
COIRÓS,"Coruña, A",Galicia,Sin dedicación,"9.720,00"
Corcubión,"Coruña, A",Galicia,Exclusiva,"25.399,50"
Coristanco,"Coruña, A",Galicia,Exclusiva,"28.499,94"
"CORUÑA, A","Coruña, A",Galicia,Exclusiva,"69.218,38"
CULLEREDO,"Coruña, A",Galicia,Exclusiva,"56.683,95"
Curtis,"Coruña, A",Galicia,Exclusiva,"43.690,78"
DODRO,"Coruña, A",Galicia,Sin dedicación,"4.640,00"
Dumbría,"Coruña, A",Galicia,Sin dedicación,"2.160,00"
FENE,"Coruña, A",Galicia,Parcial,"24.932,52"
FERROL,"Coruña, A",Galicia,Exclusiva,"40.000,00"
Fisterra,"Coruña, A",Galicia,Exclusiva,"43.907,78"
IRIXOA,"Coruña, A",Galicia,Exclusiva,"25.200,00"
"LARACHA, A","Coruña, A",Galicia,Exclusiva,"52.200,96"
LAXE,"Coruña, A",Galicia,Parcial,"20.509,02"
LOUSAME,"Coruña, A",Galicia,Exclusiva,"41.167,14"
Malpica de Bergantiños,"Coruña, A",Galicia,Parcial,"9.629,98"
MAÑÓN,"Coruña, A",Galicia,Parcial,"14.949,34"
Mazaricos,"Coruña, A",Galicia,Exclusiva,"30.000,00"
MELIDE,"Coruña, A",Galicia,Sin dedicación,"7.350,00"
MESÍA,"Coruña, A",Galicia,Exclusiva,"39.742,78"
MIÑO,"Coruña, A",Galicia,Sin dedicación,"4.665,25"
MOECHE,"Coruña, A",Galicia,Parcial,"8.400,00"
Monfero,"Coruña, A",Galicia,Sin dedicación,"5.280,00"
MUGARDOS,"Coruña, A",Galicia,Exclusiva,"30.950,88"
Muros,"Coruña, A",Galicia,Exclusiva,"34.272,00"
Muxía,"Coruña, A",Galicia,Exclusiva,"42.420,00"
NARÓN,"Coruña, A",Galicia,Exclusiva,"55.386,25"
NEDA,"Coruña, A",Galicia,Sin dedicación,"13.746,34"
Negreira,"Coruña, A",Galicia,Exclusiva,"40.614,42"
NOIA,"Coruña, A",Galicia,Exclusiva,"46.536,00"
OLEIROS,"Coruña, A",Galicia,Exclusiva,"58.572,30"
Ordes,"Coruña, A",Galicia,Exclusiva,"51.150,26"
OROSO,"Coruña, A",Galicia,Parcial,"36.178,11"
Ortigueira,"Coruña, A",Galicia,Parcial,"28.374,92"
OUTES,"Coruña, A",Galicia,Exclusiva,"40.425,00"
Oza-Cesuras,"Coruña, A",Galicia,Exclusiva,"49.272,83"
Paderne,"Coruña, A",Galicia,Sin dedicación,"6.444,00"
PADRÓN,"Coruña, A",Galicia,Exclusiva,"43.947,82"
"Pino, O","Coruña, A",Galicia,Exclusiva,"41.167,14"
"POBRA DO CARAMIÑAL, A","Coruña, A",Galicia,Exclusiva,"44.254,84"
Ponteceso,"Coruña, A",Galicia,Sin dedicación,"1.700,00"
PONTEDEUME,"Coruña, A",Galicia,Sin dedicación,"0,00"
"PONTES DE GARCÍA RODRÍGUEZ, AS","Coruña, A",Galicia,Sin dedicación,"0,00"
PORTO DO SON,"Coruña, A",Galicia,Exclusiva,"46.426,24"
RIANXO,"Coruña, A",Galicia,Exclusiva,"44.999,92"
RIBEIRA,"Coruña, A",Galicia,Exclusiva,"57.243,90"
Rois,"Coruña, A",Galicia,Exclusiva,"39.395,86"
SADA,"Coruña, A",Galicia,Exclusiva,"32.999,96"
San Sadurniño,"Coruña, A",Galicia,Parcial,"21.000,00"
Santa Comba,"Coruña, A",Galicia,Exclusiva,"4.800,00"
SANTIAGO DE COMPOSTELA,"Coruña, A",Galicia,Exclusiva,"52.454,66"
SANTISO,"Coruña, A",Galicia,Exclusiva,"29.313,20"
SOBRADO,"Coruña, A",Galicia,Exclusiva,"40.460,84"
"Somozas, As","Coruña, A",Galicia,Sin dedicación,"1.000,00"
TEO,"Coruña, A",Galicia,Exclusiva,"45.747,24"
TOQUES,"Coruña, A",Galicia,Exclusiva,"30.727,90"
TORDOIA,"Coruña, A",Galicia,Exclusiva,"42.000,00"
Touro,"Coruña, A",Galicia,Exclusiva,"36.631,51"
Trazo,"Coruña, A",Galicia,Exclusiva,"33.600,00"
VAL DO DUBRA,"Coruña, A",Galicia,Exclusiva,"39.606,00"
Valdoviño,"Coruña, A",Galicia,Exclusiva,"48.343,75"
Vedra,"Coruña, A",Galicia,Exclusiva,"35.482,90"
VILARMAIOR,"Coruña, A",Galicia,Exclusiva,"36.112,02"
VILASANTAR,"Coruña, A",Galicia,Exclusiva,"37.564,94"
VIMIANZO,"Coruña, A",Galicia,Exclusiva,"44.000,04"
Zas,"Coruña, A",Galicia,Exclusiva,"43.797,88"
Abia de la Obispalía,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
"Acebrón, El",Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Albaladejo del Cuende,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Albalate de las Nogueras,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Albendea,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
"Alberca de Záncara, La",Cuenca,Castilla-La Mancha,Parcial,"10.560,00"
Alcalá de la Vega,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
ALCANTUD,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Alcázar del Rey,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Alcohujate,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Algarra,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Aliaguilla,Cuenca,Castilla-La Mancha,Parcial,"7.000,00"
"Almarcha, La",Cuenca,Castilla-La Mancha,Parcial,"6.300,00"
Almendros,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Almodóvar del Pinar,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Almonacid del Marquesado,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Arandilla del Arroyo,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Arcos de la Sierra,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Arguisuelas,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Arrancacepas,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Atalaya del Cañavate,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
BASCUÑANA DE SAN PEDRO,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Beamud,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
BELINCHÓN,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Belmonte,Cuenca,Castilla-La Mancha,Parcial,"28.842,03"
Belmontejo,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Boniches,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Buciegas,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Buenache de Alarcón,Cuenca,Castilla-La Mancha,Sin dedicación,"480,00"
Buenache de la Sierra,Cuenca,Castilla-La Mancha,Sin dedicación,"350,00"
Buendía,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Campillo de Altobuey,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Campillos-Sierra,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Campos del Paraíso,Cuenca,Castilla-La Mancha,Sin dedicación,"540,00"
Canalejas del Arroyo,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Cañada del Hoyo,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Cañada Juncosa,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Cañamares,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
"Cañavate, El",Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
CAÑAVERAS,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Cañete,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Cañizares,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Cardenete,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Carrascosa,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Carrascosa de Haro,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Casas de Fernando Alonso,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Casas de Garcimolina,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Casas de Haro,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Casas de los Pinos,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Castillejo-Sierra,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Castillo-Albaráñez,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
CERVERA DEL LLANO,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Chillarón de Cuenca,Cuenca,Castilla-La Mancha,Sin dedicación,"240,00"
Chumillas,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
"CIERVA, LA",Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
CUENCA,Cuenca,Castilla-La Mancha,Exclusiva,"57.363,99"
Cueva del Hierro,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Fresneda de la Sierra,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
"Frontera, La",Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Fuente de Pedro Naharro,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Fuentelespino de Haro,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Fuentenava de Jábaga,Cuenca,Castilla-La Mancha,Sin dedicación,"300,00"
Fuentes,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
FUERTESCUSA,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Gascueña,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Graja de Campalbo,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Henarejos,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
"Herrumblar, El",Cuenca,Castilla-La Mancha,Sin dedicación,"8.275,00"
"Hinojosa, La",Cuenca,Castilla-La Mancha,Parcial,"8.400,00"
"Hinojosos, Los",Cuenca,Castilla-La Mancha,Parcial,"11.115,15"
Honrubia,Cuenca,Castilla-La Mancha,Exclusiva,"19.200,00"
Hontanaya,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Hontecillas,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Horcajo de Santiago,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Huélamo,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Huelves,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Huérguina,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Huerta de la Obispalía,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Huerta del Marquesado,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Huete,Cuenca,Castilla-La Mancha,Parcial,"14.523,98"
Iniesta,Cuenca,Castilla-La Mancha,Exclusiva,"37.600,00"
Laguna del Marquesado,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Lagunaseca,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Ledaña,Cuenca,Castilla-La Mancha,Parcial,"12.964,00"
Leganiel,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
"Majadas, Las",Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Mariana,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Masegosa,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
"MESAS, LAS",Cuenca,Castilla-La Mancha,Sin dedicación,"7.700,00"
Minglanilla,Cuenca,Castilla-La Mancha,Parcial,"14.539,80"
Monreal del Llano,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
MONTALBO,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Mota del Cuervo,Cuenca,Castilla-La Mancha,Exclusiva,"27.419,98"
Motilla del Palancar,Cuenca,Castilla-La Mancha,Exclusiva,"39.200,00"
Moya,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Olivares de Júcar,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Olmeda de la Cuesta,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Olmeda del Rey,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Olmedilla de Eliz,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Osa de la Vega,Cuenca,Castilla-La Mancha,Sin dedicación,"400,00"
Pajaroncillo,Cuenca,Castilla-La Mancha,Sin dedicación,"1.074,08"
PALOMARES DEL CAMPO,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Palomera,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Paracuellos,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Paredes,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
"Pedernoso, El",Cuenca,Castilla-La Mancha,Parcial,"16.800,00"
"Pedroñeras, Las",Cuenca,Castilla-La Mancha,Sin dedicación,"1.920,00"
"Peral, El",Cuenca,Castilla-La Mancha,Sin dedicación,"240,00"
"Pesquera, La",Cuenca,Castilla-La Mancha,Parcial,"13.272,96"
"Picazo, El",Cuenca,Castilla-La Mancha,Parcial,"4.200,00"
Pinarejo,Cuenca,Castilla-La Mancha,Sin dedicación,"600,00"
PINEDA DE GIGÜELA,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Portilla,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Pozorrubio de Santiago,Cuenca,Castilla-La Mancha,Sin dedicación,"1.028,49"
"POZUELO, EL",Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Priego,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
"Provencio, El",Cuenca,Castilla-La Mancha,Exclusiva,"15.164,23"
Puebla de Almenara,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Puebla del Salvador,Cuenca,Castilla-La Mancha,Parcial,"9.252,60"
Quintanar del Rey,Cuenca,Castilla-La Mancha,Exclusiva,"37.101,00"
Reíllo,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Rozalén del Monte,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Saceda-Trasierra,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Salinas del Manzano,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Salmeroncillos,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Salvacañete,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
San Clemente,Cuenca,Castilla-La Mancha,Exclusiva,"32.999,96"
San Lorenzo de la Parrilla,Cuenca,Castilla-La Mancha,Exclusiva,"30.633,68"
San Martín de Boniches,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Santa Cruz de Moya,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Santa María del Campo Rus,Cuenca,Castilla-La Mancha,Parcial,"9.888,20"
Santa María del Val,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Solera de Gabaldón,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
SOTORRIBAS,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Talayuelas,Cuenca,Castilla-La Mancha,Parcial,"11.718,04"
Tejadillos,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
TORRALBA,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Torrejoncillo del Rey,Cuenca,Castilla-La Mancha,Sin dedicación,"200,00"
Torrubia del Campo,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
TORRUBIA DEL CASTILLO,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Tragacete,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Tribaldos,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Uña,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
"VALDECOLMENAS, LOS",Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
Valdemeca,Cuenca,Castilla-La Mancha,Sin dedicación,"0,00"
