Comunidad Autónoma,Año,CO2
EXTREMADURA,2021,6302
EXTREMADURA,2022,6396
GALICIA,1990,23783
GALICIA,1991,23214
GALICIA,1992,25128
GALICIA,1993,24933
GALICIA,1994,24286
GALICIA,1995,26787
GALICIA,1996,25064
GALICIA,1997,23839
GALICIA,1998,25965
GALICIA,1999,24484
GALICIA,2000,25654
GALICIA,2001,25994
GALICIA,2002,28144
GALICIA,2003,27023
GALICIA,2004,28101
GALICIA,2005,26990
GALICIA,2006,26353
GALICIA,2007,27036
GALICIA,2008,21106
GALICIA,2009,18844
GALICIA,2010,17333
GALICIA,2011,18940
GALICIA,2012,21759
GALICIA,2013,18667
GALICIA,2014,18842
GALICIA,2015,19837
GALICIA,2016,18248
GALICIA,2017,20321
GALICIA,2018,19279
GALICIA,2019,11875
GALICIA,2020,8881
GALICIA,2021,9089
GALICIA,2022,9556
LA RIOJA,1990,955
LA RIOJA,1991,970
LA RIOJA,1992,985
LA RIOJA,1993,978
LA RIOJA,1994,1059
LA RIOJA,1995,1160
LA RIOJA,1996,1175
LA RIOJA,1997,1196
LA RIOJA,1998,1365
LA RIOJA,1999,1433
LA RIOJA,2000,1490
LA RIOJA,2001,1509
LA RIOJA,2002,1558
LA RIOJA,2003,1737
LA RIOJA,2004,1915
LA RIOJA,2005,3272
LA RIOJA,2006,3316
LA RIOJA,2007,3196
LA RIOJA,2008,2978
LA RIOJA,2009,2074
LA RIOJA,2010,1988
LA RIOJA,2011,1673
LA RIOJA,2012,1805
LA RIOJA,2013,1406
LA RIOJA,2014,1238
LA RIOJA,2015,1402
LA RIOJA,2016,1575
LA RIOJA,2017,1798
LA RIOJA,2018,1569
LA RIOJA,2019,1656
LA RIOJA,2020,1334
LA RIOJA,2021,1587
LA RIOJA,2022,1608
MADRID,1990,15758
MADRID,1991,16945
MADRID,1992,18353
MADRID,1993,17713
MADRID,1994,18929
MADRID,1995,19039
MADRID,1996,20169
MADRID,1997,20158
MADRID,1998,21665
MADRID,1999,22478
MADRID,2000,24064
