Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_autonoma
Mazda,mx-30,20300,12914,2023,Eléctrico,145.0,Pontevedra,Automático,36156,Galicia
Bmw,x2,16790,129900,2021,Gasolina,140.0,REYES,Automático,28703,Madrid
Bmw,x1,9990,173000,2010,Diésel,177.0,Barca,Manual,08740,Cataluña
Opel,corsa,9490,23982,2021,Gasolina,75.0,POBLET,Manual,46930,Comunidad Valenciana
Seat,leon,5950,185000,2010,Diésel,90.0,VALENCIA,Manual,46015,Comunidad Valenciana
Bmw,320,19400,221000,2021,Diésel,190.0,ARROYOMOLINOS,Automático,28939,Madrid
Volkswagen,touran,10440,142591,2011,Diésel,105.0,Manresa,Manual,08241,Cataluña
Bmw,320,11500,129000,2008,Gasolina,170.0,MADRID,Manual,28019,Madrid
Volkswagen,golf gti,12000,141000,2011,Gasolina,211.0,LUGO,Manual,27003,Galicia
Seat,ibiza,8990,66000,2012,Diésel,105.0,LLOBREGAT,Manual,08820,Cataluña
Fiat,grande punto,2900,213000,2010,Gasolina,65.0,MADRID,Manual,28007,Madrid
Volkswagen,touran,10990,143000,2011,Diésel,105.0,LLOBREGAT,Manual,08950,Cataluña
Opel,crossland,13590,10416,2024,Gasolina,110.0,MADRID,Manual,28021,Madrid
Audi,rs q3,58990,20956,2023,Gasolina,400.0,MADRID,Automático,28970,Madrid
Audi,q7,16900,227000,2012,Diésel,245.0,ZARAGOZA,Automático,50197,Aragón
Mercedes-benz,gle 63 amg,584900,10,2025,Gasolina,612.0,CARDEDEU,Automático,08440,Cataluña
Ford,grand c-max,5200,295000,2011,Diésel,116.0,TERRI,Manual,17844,Cataluña
Bmw,128,28034,65003,2020,Gasolina,265.0,Leganés,Automático,28914,Madrid
Bmw,x1,11583,160866,2011,Diésel,177.0,ROZAS,Automático,28232,Madrid
Volvo,s40,8890,165000,2013,Diésel,114.0,ORDES,Manual,15680,Galicia
Suzuki,vitara,13990,80000,2021,Gasolina,140.0,MALAGA,Manual,29004,Andalucía
Ford,focus,7499,73000,2014,Gasolina,125.0,TORREVIEJA,Automático,03184,Comunidad Valenciana
Honda,cr-v,11500,129000,2011,Diésel,150.0,BARCELONA,Automático,08028,Cataluña
Citroen,c3,6900,152000,2018,Diésel,75.0,ZUBIA,Manual,18140,Andalucía
Audi,a6,379900,10,2025,Gasolina,630.0,CARDEDEU,Automático,08440,Cataluña
Citroen,c5,2800,265000,2007,Diésel,136.0,ASTORGA,Manual,24700,Castilla y León
Toyota,c-hr,16990,142581,2021,Electro/Gasolina,125.0,VILABLAREIX,Automático,17180,Cataluña
Volkswagen,t-roc,22002,49734,2020,Diésel,150.0,ROZAS,Automático,28232,Madrid
Peugeot,rifter,10990,178000,2019,Diésel,99.0,MAR,Manual,08349,Cataluña
Mercedes-benz,gle 400,58900,155000,2021,Diésel,330.0,MALAGA,Automático,29004,Andalucía
Nissan,qashqai,7450,235000,2010,Diésel,150.0,TORREVIEJA,Automático,03181,Comunidad Valenciana
Mercedes-benz,glc 43 amg,33988,112000,2017,Gasolina,367.0,GALDAKAO,Automático,48960,País Vasco
Nissan,juke,14540,31306,2021,Gasolina,114.0,MADRID,Manual,28914,Madrid
Peugeot,2008,18490,20857,2024,Gasolina,131.0,Villalba,Automático,28400,Madrid
Fiat,punto,4690,159575,2013,Gas licuado (GLP),77.0,MADRID,Manual,28021,Madrid
Volkswagen,golf,6300,161000,2006,Diésel,140.0,ALICANTE,Manual,03005,Comunidad Valenciana
Toyota,unknown,10990,39000,2022,Gasolina,72.0,TENERIFE,Manual,38108,Canarias
Mg,ehs,19791,23255,2023,Electro/Gasolina,162.0,Segarra,Automático,08281,Cataluña
Mazda,6,7990,187000,2012,Diésel,129.0,HENARES,Manual,28802,Madrid
