Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_Autonoma
Audi,rs q3,58990,20956,2023,Gasolina,400.0,MADRID,Automático,28970,Comunidad de Madrid
Bmw,320,11500,129000,2008,Gasolina,170.0,MADRID,Manual,28019,Comunidad de Madrid
Audi,q7,16900,227000,2012,Diésel,245.0,ZARAGOZA,Automático,50197,Aragón
Nissan,qashqai,7450,235000,2010,Diésel,150.0,TORREVIEJA,Automático,03181,Comunidad Valenciana
Volvo,s60,4500,187150,2004,Gasolina,209.0,MADRID,Automático,28022,Comunidad de Madrid
Volvo,s40,8890,165000,2013,Diésel,114.0,ORDES,Manual,15680,Galicia
Land rover,range rover evoque,18990,78000,2018,Diésel,150.0,Móstoles,Automático,28933,Comunidad de Madrid
Ford,focus,7499,73000,2014,Gasolina,125.0,TORREVIEJA,Automático,03184,Comunidad Valenciana
Bmw,120,12990,76021,2012,Gasolina,170.0,TORREMOLINOS,Manual,29620,Andalucía
Honda,cr-v,11500,129000,2011,Diésel,150.0,BARCELONA,Automático,08028,Cataluña
Toyota,yaris,16890,15249,2024,Gasolina,125.0,MADRID,Manual,28034,Comunidad de Madrid
Ford,fiesta,11000,66956,2021,Gasolina,125.0,TARRAGONA,Manual,43006,Cataluña
Audi,q5,11900,230989,2009,Diésel,170.0,ZARAGOZA,Automático,50014,Aragón
Volkswagen,t-roc,22002,49734,2020,Diésel,150.0,ROZAS,Automático,28232,Comunidad de Madrid
Volkswagen,golf,6990,197000,2011,Diésel,105.0,MALAGA,Manual,29004,Andalucía
Opel,mokka,17590,12229,2024,Gasolina,131.0,MADRID,Automático,28021,Comunidad de Madrid
Volkswagen,golf,6300,161000,2006,Diésel,140.0,ALICANTE,Manual,03005,Comunidad Valenciana
Toyota,unknown,10990,39000,2022,Gasolina,72.0,TENERIFE,Manual,38108,Canarias
Nissan,juke,14540,31306,2021,Gasolina,114.0,MADRID,Manual,28914,Comunidad de Madrid
Volkswagen,golf,5500,189000,2006,Diésel,140.0,ARBOÇ,Manual,43720,Cataluña
Mercedes-benz,clk 200,6990,133000,2004,Diésel,170.0,ANTONIO,Manual,28891,Comunidad de Madrid
Toyota,verso,6850,183000,2011,Diésel,126.0,TORREVIEJA,Manual,03181,Comunidad Valenciana
Mercedes-benz,glc 43 amg,33988,112000,2017,Gasolina,367.0,GALDAKAO,Automático,48960,País Vasco
Bmw,318,37900,15700,2024,Diésel,150.0,MARTOS,Automático,23600,Andalucía
Toyota,verso,6850,183000,2011,Diésel,126.0,TORREVIEJA,Manual,03181,Comunidad Valenciana
Mercedes-benz,glc 43 amg,33988,112000,2017,Gasolina,367.0,GALDAKAO,Automático,48960,País Vasco
Bmw,318,37900,15700,2024,Diésel,150.0,MARTOS,Automático,23600,Andalucía
Peugeot,408,19990,30832,2024,Gasolina,131.0,MADRID,Automático,28021,Comunidad de Madrid
Omoda,5,22500,11001,2024,Gasolina,186.0,Coslada,Automático,28823,Comunidad de Madrid
Audi,a7,27900,157500,2018,Diésel,272.0,PINTO,Automático,28320,Comunidad de Madrid
