Comunidad Autónoma,Año,CO2,lat,lon
CASTILLA Y LEÓN,1990,27467,41.55005,-5.1387401
CASTILLA Y LEÓN,1991,27867,41.55005,-5.1387401
CASTILLA Y LEÓN,1992,2787,41.55005,-5.1387401
CASTILLA Y LEÓN,1993,26951,41.55005,-5.1387401
CASTILLA Y LEÓN,1994,28161,41.55005,-5.1387401
CASTILLA Y LEÓN,1995,29136,41.55005,-5.1387401
CASTILLA Y LEÓN,1996,27528,41.55005,-5.1387401
CASTILLA Y LEÓN,1997,34636,41.55005,-5.1387401
CASTILLA Y LEÓN,1998,29612,41.55005,-5.1387401
CASTILLA Y LEÓN,1999,31819,41.55005,-5.1387401
CASTILLA Y LEÓN,2000,3316,41.55005,-5.1387401
CASTILLA Y LEÓN,2001,32601,41.55005,-5.1387401
CASTILLA Y LEÓN,2002,35192,41.55005,-5.1387401
CASTILLA Y LEÓN,2003,34753,41.55005,-5.1387401
CASTILLA Y LEÓN,2004,36683,41.55005,-5.1387401
CASTILLA Y LEÓN,2005,36522,41.55005,-5.1387401
CASTILLA Y LEÓN,2006,33404,41.55005,-5.1387401
CASTILLA Y LEÓN,2007,34434,41.55005,-5.1387401
CASTILLA Y LEÓN,2008,3098,41.55005,-5.1387401
CASTILLA Y LEÓN,2009,22617,41.55005,-5.1387401
CASTILLA Y LEÓN,2010,18095,41.55005,-5.1387401
CASTILLA Y LEÓN,2011,25797,41.55005,-5.1387401
CASTILLA Y LEÓN,2012,2633,41.55005,-5.1387401
CASTILLA Y LEÓN,2013,20837,41.55005,-5.1387401
CASTILLA Y LEÓN,2014,23069,41.55005,-5.1387401
CASTILLA Y LEÓN,2015,24641,41.55005,-5.1387401
CASTILLA Y LEÓN,2016,22254,41.55005,-5.1387401
CASTILLA Y LEÓN,2017,22166,41.55005,-5.1387401
CASTILLA Y LEÓN,2018,19117,41.55005,-5.1387401
CASTILLA Y LEÓN,2019,16163,41.55005,-5.1387401
CASTILLA Y LEÓN,2020,14692,41.55005,-5.1387401
CASTILLA Y LEÓN,2021,15515,41.55005,-5.1387401
CASTILLA Y LEÓN,2022,14569,41.55005,-5.1387401
CASTILLA-LA MANCHA,1990,14986,39.4177902,-2.6232332
CASTILLA-LA MANCHA,1991,15529,39.4177902,-2.6232332
CASTILLA-LA MANCHA,1992,1574,39.4177902,-2.6232332
CASTILLA-LA MANCHA,1993,14078,39.4177902,-2.6232332
CASTILLA-LA MANCHA,1994,15732,39.4177902,-2.6232332
CASTILLA-LA MANCHA,1995,15341,39.4177902,-2.6232332
CASTILLA-LA MANCHA,1996,162,39.4177902,-2.6232332
CASTILLA-LA MANCHA,1997,17409,39.4177902,-2.6232332
CASTILLA-LA MANCHA,1998,18107,39.4177902,-2.6232332
CASTILLA-LA MANCHA,1999,19633,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2000,20238,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2001,20591,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2002,20523,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2003,20247,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2004,21199,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2005,20358,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2006,2065,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2007,21883,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2008,1911,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2009,17761,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2010,16369,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2011,15674,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2012,14468,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2013,12808,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2014,12166,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2015,11502,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2016,11084,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2017,11075,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2018,11611,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2019,12147,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2020,10994,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2021,11325,39.4177902,-2.6232332
CASTILLA-LA MANCHA,2022,11592,39.4177902,-2.6232332
CATALUÑA,1990,34077,41.8523094,1.5745043
CATALUÑA,1991,34942,41.8523094,1.5745043
CATALUÑA,1992,36538,41.8523094,1.5745043
CATALUÑA,1993,35053,41.8523094,1.5745043
CATALUÑA,1994,39153,41.8523094,1.5745043
CATALUÑA,1995,44188,41.8523094,1.5745043
CATALUÑA,1996,43049,41.8523094,1.5745043
CATALUÑA,1997,42891,41.8523094,1.5745043
CATALUÑA,1998,43405,41.8523094,1.5745043
CATALUÑA,1999,45686,41.8523094,1.5745043
CATALUÑA,2000,47213,41.8523094,1.5745043
CATALUÑA,2001,4517,41.8523094,1.5745043
CATALUÑA,2002,44541,41.8523094,1.5745043
CATALUÑA,2003,47683,41.8523094,1.5745043
CATALUÑA,2004,49185,41.8523094,1.5745043
CATALUÑA,2005,51408,41.8523094,1.5745043
CATALUÑA,2006,50447,41.8523094,1.5745043
CATALUÑA,2007,51648,41.8523094,1.5745043
CATALUÑA,2008,48093,41.8523094,1.5745043
CATALUÑA,2009,45074,41.8523094,1.5745043
CATALUÑA,2010,43959,41.8523094,1.5745043
CATALUÑA,2011,41407,41.8523094,1.5745043
CATALUÑA,2012,38881,41.8523094,1.5745043
CATALUÑA,2013,36043,41.8523094,1.5745043
CATALUÑA,2014,3611,41.8523094,1.5745043
CATALUÑA,2015,36388,41.8523094,1.5745043
CATALUÑA,2016,37593,41.8523094,1.5745043
CATALUÑA,2017,3828,41.8523094,1.5745043
CATALUÑA,2018,38021,41.8523094,1.5745043
CATALUÑA,2019,38105,41.8523094,1.5745043
CATALUÑA,2020,34312,41.8523094,1.5745043
CATALUÑA,2021,35006,41.8523094,1.5745043
CATALUÑA,2022,350,41.8523094,1.5745043
CEUTA,1990,6970,35.888361,-5.304138
CEUTA,1991,7050,35.888361,-5.304138
CEUTA,1992,7100,35.888361,-5.304138
CEUTA,1993,7620,35.888361,-5.304138
CEUTA,1994,7610,35.888361,-5.304138
CEUTA,1995,8100,35.888361,-5.304138
CEUTA,1996,8750,35.888361,-5.304138
CEUTA,1997,7140,35.888361,-5.304138
CEUTA,1998,8060,35.888361,-5.304138
CEUTA,1999,7480,35.888361,-5.304138
CEUTA,2000,6250,35.888361,-5.304138
CEUTA,2001,5980,35.888361,-5.304138
CEUTA,2002,6280,35.888361,-5.304138
CEUTA,2003,6610,35.888361,-5.304138
CEUTA,2004,6510,35.888361,-5.304138
CEUTA,2005,6370,35.888361,-5.304138
CEUTA,2006,7590,35.888361,-5.304138
